,Unnamed: 0,Monit_MAP_CODE1,Year,avg(PIN),avg(ACRES_POLY),avg(TOTAL_TAX),avg(TAX_CAPAC),avg(FIN_SQ_FT),avg(NUM_UNITS),avg(EMV_LAND),avg(EMV_TOTAL),avg(GARAGESQFT),avg(EMV_BLDG),avg(SALE_VALUE),avg(ACRES_DEED),avg(YEAR_BUILT),count(PIN),count(ACRES_POLY),count(TOTAL_TAX),count(TAX_CAPAC),count(FIN_SQ_FT),count(NUM_UNITS),count(EMV_LAND),count(EMV_TOTAL),count(GARAGESQFT),count(EMV_BLDG),count(SALE_VALUE),count(ACRES_DEED),count(YEAR_BUILT),stddev_samp(PIN),stddev_samp(ACRES_POLY),stddev_samp(TOTAL_TAX),stddev_samp(TAX_CAPAC),stddev_samp(FIN_SQ_FT),stddev_samp(NUM_UNITS),stddev_samp(EMV_LAND),stddev_samp(EMV_TOTAL),stddev_samp(GARAGESQFT),stddev_samp(EMV_BLDG),stddev_samp(SALE_VALUE),stddev_samp(ACRES_DEED),stddev_samp(YEAR_BUILT),LAKE_NAME_x,CITY,COUNTY,MAJOR_WATERSHED_x,avg(Secchi_Depth_RESULT),avg(Total_Phosphorus_RESULT),stddev_samp(Secchi_Depth_RESULT),stddev_samp(Total_Phosphorus_RESULT),DNR_ID_Site_Number,Mean(log_phosphorus),Std Dev(log_phosphorus),Mean(Secchi_Depth_RESULT),Std Dev(Secchi_Depth_RESULT),rec_1,rec_2,rec_3,rec_4,rec_5,seasonal_1,seasonal_2,seasonal_3,seasonal_4,seasonal_5,physical_1,physical_2,physical_3,physical_4,physical_5,LAKE_NAME_y,MAJOR_WATERSHED_y,longitude,latitude,num.rec.readings,num.physical.readings,rec.avg,physical.avg,seasonal.grade,LakeSite,Number Properties,Mean(ACRES_POLY),Std Dev(ACRES_POLY),N(Ag Preserve - Yes),N(Basement - Yes),Median(EMV_TOTAL),Interquartile Range(EMV_TOTAL),Median(FIN_SQ_FT),Interquartile Range(FIN_SQ_FT),N(Green ACRE - Yes),N(Homestead - Partial),N(Homestead - Yes),N(Single Unit),N(Multiple Unit),Median(SALE_VALUE),Interquartile Range(SALE_VALUE),Median(TOTAL_TAX),Interquartile Range(TOTAL_TAX),N(Sales that year),N(Built that year)
0,0,70007200-01,2007,,0.3588859328234121,0.0,0.0,1231.4023944130365,,96346.32524110409,282223.67808446963,518.1529457666796,185877.35284336552,180288.45493847688,0.08961090788160958,1691.3834386431658,6014,6014,6014,6014,6014,0,6014,6014,5126,6014,6014,6014,6014,,1.1155724249528294,0.0,0.0,1359.7154512860075,,99445.0071571867,247585.4196192149,266.3357485289789,186568.3282076948,187582.5795240945,1.0121046934226237,706.1608232057213,Upper Prior Lake,Prior Lake,Scott,Lower Minnesota River,1.0,0.05640000000000001,0.41231056256176596,0.02931381926668717,70007200-01,-3.052856421,0.7635916302,1.0,0.4123105626,5,0,0,0,0,0,1,0,0,0,3,2,0,0,0,Upper Prior Lake,Lower Minnesota River,-93.44208405,44.71536216,5,5,1.0,1.4,D,Upper Prior Lake-1,1041,0.3235635636,0.4919342561,0,0,224100,236250.0,1058.0,478.0,0,0,812,0,0,173000.0,153600.0,,,0,0
1,1,19002300-01,2011,,0.7496488392594771,3468.541434028798,3269.04305024978,2491.67396414928,0.0,83195.5480458419,290050.5289450485,535.017823042648,206854.9808992066,127926.65030855127,0.0,1841.4698795180725,6806,6806,6806,6806,6806,6806,6806,6806,6284,6806,6806,6806,6806,,3.9490937149977587,2631.816896426087,10576.282364266639,1156.231098780805,0.0,142626.56845812587,537368.9701114702,255.75102164299136,473263.46669594,173448.99935782302,0.0,530.879024193346,Farquar Lake,Apple Valley,Dakota,Mississippi River - Lake Pepin,0.6142857142857144,0.0995,0.2979600976309072,0.02579430467847803,19002300-01,-2.338342175,0.2567718611,0.6142857143,0.2979600976,3,3,8,0,0,1,0,0,0,0,2,1,4,7,0,Farquar Lake,Mississippi River - Lake Pepin,-93.1646402,44.75863717,14,14,2.3571428571,3.1428571429,F,Farquar Lake-1,307,0.7332624113,1.1348823737,0,0,244700,130600.0,2492.0,1282.0,0,0,294,0,0,216000.0,149100.0,3074.0,1928.5,7,0
2,2,10001300-01,2012,,0.7365369059656215,7146.427451971688,0.0,2508.3341759352884,90.5,119650.83417593528,342808.0131445905,,223157.1789686552,219802.76365015167,0.4021941354903943,1887.3647623862487,3956,3956,3956,3956,3956,8,3956,3956,0,3956,3956,3956,3956,,3.1569898109433185,30519.20460901087,0.0,9217.688661699587,52.380476188311675,305223.0115142655,972014.3861364026,,746492.4988324916,678788.1984260625,2.862437361722713,451.4971679921141,Susan Lake,Chanhassen,Carver,Lower Minnesota River,1.1571428571428568,0.08785714285714286,0.8491754242198141,0.031233259252221555,10001300-01,-2.500681612,0.4081383057,1.1571428571,0.8491754242,6,6,2,0,0,0,1,0,0,0,1,7,5,1,0,Susan Lake,Lower Minnesota River,-93.54157073,44.85197945,14,14,1.7142857143,2.4285714286,D,Susan Lake-1,478,0.9423012552,4.0434435551,0,0,308900,208325.0,1931.0,1094.0,2,0,414,0,4,238200.0,161551.0,4490.0,2807.0,12,2
3,3,27002802-01,2006,,0.0,7902.876144318794,5957.569197630587,0.0,,153021.2349667923,442737.7849578173,,289716.5499910249,242539.02189912047,0.0,1735.3817985998926,5571,5571,5571,5571,5571,0,5571,5571,0,5571,5571,5571,5571,,0.0,88948.52597750975,56388.218443831975,0.0,,644704.5116811495,2866828.908807213,,2269441.9287171485,2468409.5554648316,0.0,625.9058470952921,Cornelia Lake,Edina,Hennepin,Lower Minnesota River,0.5428571428571428,0.14250000000000004,0.2730575755412026,0.061879224797491285,27002802-01,-2.024986312,0.3946818421,0.5428571429,0.2730575755,0,0,0,14,0,1,0,0,0,0,0,0,8,5,1,Cornelia Lake,Lower Minnesota River,-93.33952406,44.88277422,14,14,4.0,3.5,F,Cornelia Lake-1,623,,,0,0,381900,183300.0,0.0,0.0,0,0,538,0,0,235500.0,229000.0,4286.0,2012.0,18,0
4,4,27003501-01,2013,,1.4312180363068532,7121.269568612142,3708.8338863946906,1272.5022447784504,,123508.06168260785,312767.4019129417,446.55052583447645,188967.1676751903,195481.23599453445,0.0,1855.3324224087448,5123,5123,5123,5123,5123,0,5123,5123,4374,5123,5123,5123,5123,,3.4441937797621693,27556.637642652197,13190.76580249955,824.8594580187893,,354603.01703588385,787876.5896896834,207.3833507807786,538350.417137116,760121.8511808842,0.0,452.32427621789253,Sweeney Lake,Golden Valley,Hennepin,Mississippi River - Twin Cities,1.1444444444444446,0.03644444444444445,0.08819171036881966,0.012531072491122928,27003501-01,-3.359475295,0.3188978691,1.1444444444,0.0881917104,3,4,2,0,0,0,0,1,0,0,0,6,3,0,0,Sweeney Lake,Mississippi River - Twin Cities,-93.34160616,44.99052075,9,9,1.8888888889,2.3333333333,C,Sweeney Lake-1,309,0.91197411,1.7992926963,0,0,265000,197500.0,1548.0,648.0,0,0,262,0,0,215000.0,196218.75,4921.0,4356.0,22,0
5,5,27011102-01,2008,,1.0456740914419698,5578.9613130128955,4320.189331770222,0.0,,97788.04220398591,349519.6951934349,,251731.65298944898,220055.6148886284,0.0,1855.538100820633,1706,1706,1706,1706,1706,0,1706,1706,0,1706,1706,1706,1706,,2.851292804975265,28615.326485173082,18345.93279396956,0.0,,258259.35085234587,916025.3578615077,,695725.5571139727,768484.3871261982,0.0,489.7575113820111,Pike Lake,Maple Grove,Hennepin,Mississippi River - Twin Cities,1.0846153846153848,0.06807692307692309,0.6950373537277856,0.030785444446094806,27011102-01,-2.774715166,0.4283490551,1.0846153846,0.6950373537,0,5,8,0,0,0,1,0,0,0,0,3,8,2,0,Pike Lake,Mississippi River - Twin Cities,-93.41943368,45.06640871,13,13,2.6153846154,2.9230769231,D,Pike Lake-1,219,1.2112785388,3.8130033685,0,0,218200,97000.0,0.0,0.0,0,0,181,0,0,171000.0,117500.0,2456.0,1233.0,10,0
6,6,82007200-01,2007,,0.0,0.0,0.0,0.0,,118426.70979667285,206491.68207024032,,79948.33641404807,52207.024953789274,6.786062846580409,987.6996303142328,2164,2164,2164,2164,2164,0,2164,2164,0,2164,2164,2164,2164,,0.0,0.0,0.0,0.0,,122097.38274024324,278386.05802876985,,98558.21554359539,121179.69344113553,13.79818745015426,984.3829589519704,White Rock Lake,Scandia,Washington,Mississippi River - Twin Cities,0.6642857142857144,0.09764285714285714,0.4667516929344154,0.04446192345549884,82007200-01,-2.425522664,0.4697395449,0.6642857143,0.4667516929,4,6,4,0,0,0,1,0,0,0,3,8,3,0,0,White Rock Lake,Mississippi River - Twin Cities,-92.89308991,45.22389054,14,14,2.0,2.0,D,White Rock Lake-1,59,,,0,0,293700,244200.0,0.0,0.0,0,57,0,0,0,192837.0,388924.0,,,0,0
7,7,82012300-01,2012,,7.234156626506028,0.0,2892.012048192771,1675.5481927710846,0.7831325301204819,145225.3012048193,303081.9277108434,931.1810344827586,157856.6265060241,157781.18072289156,0.0,1538.0421686746988,332,332,332,332,332,332,332,332,232,332,332,332,332,,8.66684658916768,0.0,2215.956241968613,1103.32215473389,0.4271225376177324,72968.56972411285,200540.17695391554,459.6124397688418,153925.63448930654,194884.79564740078,0.0,825.0986527295195,Bass Lake,Grant,Washington,Lower St. Croix River,2.684320000000001,0.03642424242424242,0.5640951249567754,0.02890721179808585,82012300-01,-3.450011499,0.4552834353,2.68432,0.564095125,12,19,2,2,0,0,0,0,2,1,7,26,2,0,0,Bass Lake,Lower St. Croix River,-92.91784653,45.09714182,35,35,1.8285714286,1.8571428571,B,Bass Lake-1,94,4.6827659574,3.1384522602,0,0,303900,68000.0,1920.0,880.0,0,0,82,80,0,300000.0,265000.0,,,4,0
8,8,19002200-01,2014,,0.5099752249315426,3257.099491459121,2719.5737384274357,2372.3853175120616,0.9689659668796452,76600.22167166515,279630.9818750815,488.30525492241486,203030.76020341637,167024.71313078632,0.0,1931.8684313469812,7669,7669,7669,7669,7669,7669,7669,7669,7669,7669,7669,7669,7669,,2.507319116448372,7880.672228511022,13035.787891641306,4204.276449807281,0.17342100080665515,147514.55286139622,680632.4382504759,199.8645486805461,574813.6502384737,127959.23896384922,0.0,322.7347568790209,Long Lake,Apple Valley,Dakota,Mississippi River - Lake Pepin,1.4320000000000008,0.07905714285714285,0.6853870164504435,0.09006887633623532,19002200-01,-2.991102127,0.9018089672,1.432,0.6853870165,13,10,26,7,9,1,0,3,1,0,10,32,22,4,2,Long Lake,Mississippi River - Lake Pepin,-93.17320832,44.7559202,65,70,2.8307692308,2.3714285714,C,Long Lake-1,463,0.7842980562,1.3400807197,0,0,253300,67500.0,2348.0,1035.0,0,0,418,426,0,238000.0,176875.0,3075.0,1003.0,10,0
9,9,10001400-01,2009,,1.4050639386189248,5828.361709901353,4423.781147241505,2564.4311289733287,52.0,153108.25721592986,415531.1289733285,,262422.8717573986,286321.6810376325,0.7436244062842531,1554.731092436975,2737,2737,2737,2737,2737,8,2737,2737,0,2737,2737,2737,2737,,6.736565139109758,14616.91978080953,9368.707624068957,6404.884794835307,22.878561393334397,327866.2729024437,766322.1947491381,,582820.6826372347,770640.7714283543,6.526929624547062,827.5383977425563,Hazeltine Lake,Chaska,Carver,Lower Minnesota River,0.28928571428571426,0.2860714285714286,0.13035243857234985,0.11056460992122644,10001400-01,-1.316754037,0.3754210322,0.2892857143,0.1303524386,0,0,2,8,4,1,0,0,0,0,0,0,4,9,1,Hazeltine Lake,Lower Minnesota River,-93.58762476,44.83768723,14,14,4.1428571429,3.7857142857,F,Hazeltine Lake-1,231,2.614185022,12.512406149,0,0,416800,759300.0,1600.0,5256.0,0,0,46,0,8,315000.0,470012.5,6621.0,29789.0,3,0
